0.31496214866638184 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22115755081176758 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2212679386138916 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2211294174194336 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22113680839538574 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22104716300964355 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2209157943725586 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22110366821289062 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2210841178894043 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22118234634399414 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2210371494293213 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22094249725341797 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22145605087280273 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22160029411315918 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22128081321716309 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22102880477905273 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22105860710144043 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2209930419921875 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22118520736694336 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22143936157226562 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22104740142822266 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22101521492004395 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22096633911132812 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22085928916931152 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2209463119506836 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2210404872894287 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22112131118774414 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22100615501403809 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.221116304397583 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22106623649597168 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22095990180969238 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22096729278564453 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22109436988830566 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22101116180419922 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2210686206817627 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22123074531555176 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22121238708496094 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22106218338012695 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2212686538696289 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2215888500213623 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22093892097473145 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22100377082824707 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2209768295288086 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2211606502532959 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22226405143737793 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22486138343811035 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22772622108459473 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22235369682312012 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22261929512023926 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22164058685302734 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22148847579956055 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22169995307922363 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2226557731628418 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22220778465270996 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22307062149047852 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22256183624267578 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22300410270690918 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22244596481323242 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.221635103225708 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22247958183288574 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2219245433807373 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2254009246826172 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22309517860412598 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22210240364074707 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22234797477722168 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22297263145446777 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22304749488830566 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22179222106933594 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22350621223449707 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2225942611694336 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2211320400238037 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22114133834838867 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22189998626708984 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2216169834136963 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22209620475769043 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2213284969329834 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22118806838989258 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2211747169494629 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2214348316192627 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22258806228637695 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22177910804748535 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22335338592529297 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22283315658569336 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2212512493133545 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22123050689697266 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22129058837890625 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22136306762695312 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22174286842346191 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22243094444274902 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22219252586364746 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22216582298278809 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22193217277526855 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22335124015808105 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22118210792541504 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22114801406860352 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22210359573364258 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2239394187927246 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22104358673095703 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22142362594604492 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22182345390319824 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22210025787353516 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22217535972595215 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22127056121826172 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22167420387268066 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22136211395263672 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22107720375061035 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22135090827941895 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22127676010131836 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22174525260925293 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22145485877990723 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22117233276367188 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22104191780090332 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22110319137573242 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2212357521057129 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2216501235961914 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2215278148651123 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22112464904785156 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22123217582702637 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22163915634155273 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22164058685302734 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22114253044128418 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22164273262023926 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22289252281188965 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22636198997497559 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22263789176940918 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.22230792045593262 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
0.2266526222229004 : [0.0, 0.0] : [0.0, 0.0] : [0.0, 0.0]
